11505994,11864723,7820112,10047628,13203927,46389181,100834335,81779620,41268908,32057373
11864723,7820112,10047628,13203927,46389181,100834335,81779620,41268908,32057373,23877595
7820112,10047628,13203927,46389181,100834335,81779620,41268908,32057373,23877595,29611268
10047628,13203927,46389181,100834335,81779620,41268908,32057373,23877595,29611268,69349488
13203927,46389181,100834335,81779620,41268908,32057373,23877595,29611268,69349488,41859862
46389181,100834335,81779620,41268908,32057373,23877595,29611268,69349488,41859862,21788548
100834335,81779620,41268908,32057373,23877595,29611268,69349488,41859862,21788548,57283251
81779620,41268908,32057373,23877595,29611268,69349488,41859862,21788548,57283251,41653657
41268908,32057373,23877595,29611268,69349488,41859862,21788548,57283251,41653657,42451178
32057373,23877595,29611268,69349488,41859862,21788548,57283251,41653657,42451178,30282217
23877595,29611268,69349488,41859862,21788548,57283251,41653657,42451178,30282217,18975358
29611268,69349488,41859862,21788548,57283251,41653657,42451178,30282217,18975358,50317411
69349488,41859862,21788548,57283251,41653657,42451178,30282217,18975358,50317411,27132908
41859862,21788548,57283251,41653657,42451178,30282217,18975358,50317411,27132908,26038093
21788548,57283251,41653657,42451178,30282217,18975358,50317411,27132908,26038093,21289116
57283251,41653657,42451178,30282217,18975358,50317411,27132908,26038093,21289116,21986007
41653657,42451178,30282217,18975358,50317411,27132908,26038093,21289116,21986007,37153857
42451178,30282217,18975358,50317411,27132908,26038093,21289116,21986007,37153857,30117667
30282217,18975358,50317411,27132908,26038093,21289116,21986007,37153857,30117667,30516908
18975358,50317411,27132908,26038093,21289116,21986007,37153857,30117667,30516908,28443735
50317411,27132908,26038093,21289116,21986007,37153857,30117667,30516908,28443735,32841616
27132908,26038093,21289116,21986007,37153857,30117667,30516908,28443735,32841616,28910719
26038093,21289116,21986007,37153857,30117667,30516908,28443735,32841616,28910719,15373536
21289116,21986007,37153857,30117667,30516908,28443735,32841616,28910719,15373536,21412933
21986007,37153857,30117667,30516908,28443735,32841616,28910719,15373536,21412933,31427815
37153857,30117667,30516908,28443735,32841616,28910719,15373536,21412933,31427815,30308248
30117667,30516908,28443735,32841616,28910719,15373536,21412933,31427815,30308248,21575989
30516908,28443735,32841616,28910719,15373536,21412933,31427815,30308248,21575989,29873588
28443735,32841616,28910719,15373536,21412933,31427815,30308248,21575989,29873588,57822527
32841616,28910719,15373536,21412933,31427815,30308248,21575989,29873588,57822527,25845734
28910719,15373536,21412933,31427815,30308248,21575989,29873588,57822527,25845734,22912106
15373536,21412933,31427815,30308248,21575989,29873588,57822527,25845734,22912106,22494409
21412933,31427815,30308248,21575989,29873588,57822527,25845734,22912106,22494409,14774311
31427815,30308248,21575989,29873588,57822527,25845734,22912106,22494409,14774311,23272915
30308248,21575989,29873588,57822527,25845734,22912106,22494409,14774311,23272915,15222008
21575989,29873588,57822527,25845734,22912106,22494409,14774311,23272915,15222008,18078726
29873588,57822527,25845734,22912106,22494409,14774311,23272915,15222008,18078726,21488115
57822527,25845734,22912106,22494409,14774311,23272915,15222008,18078726,21488115,21288078
25845734,22912106,22494409,14774311,23272915,15222008,18078726,21488115,21288078,17428731
22912106,22494409,14774311,23272915,15222008,18078726,21488115,21288078,17428731,16874819
